a,b,c
36,84,87
2,33,5
50,15,10
61,42,48
41,84,75
41,50,76
12,85,10
73,96,98
71,42,40
36,34,11
60,22,5
30,6,27
22,62,80
25,2,77
13,26,88
26,23,94
18,52,67
33,16,83
14,76,59
11,63,28
98,44,87
49,72,90
30,3,85
37,42,17
19,69,77
88,12,21
26,91,37
98,56,59
67,42,45
9,10,40
15,33,11
27,54,69
0,80,1
47,69,96
79,38,79
12,60,33
37,48,95
37,54,54
48,65,82
87,14,15
5,81,94
39,29,89
90,62,46
45,73,34
3,75,3
40,24,8
9,45,96
7,97,48
68,90,60
85,49,81
16,52,0
40,72,24
46,99,49
22,85,19
27,43,41
49,24,93
45,96,75
71,24,80
5,21,9
75,32,53
29,61,10
95,39,87
89,56,46
44,2,95
4,38,51
74,57,84
58,53,16
72,44,59
97,16,62
58,15,31
89,2,45
24,41,10
47,21,35
66,40,47
61,98,23
12,12,85
39,37,0
38,9,4
70,82,14
27,15,74
21,89,37
25,19,46
53,78,36
76,17,69
36,44,83
60,40,35
37,64,18
98,81,90
30,37,90
36,60,89
22,99,6
85,48,17
39,39,70
63,92,50
43,80,59
71,67,92
86,98,5
22,57,63
75,8,46
82,41,86
59,91,69
49,77,14
14,13,88
67,29,0
17,93,90
83,63,21
85,80,0
2,12,47
56,46,36
61,48,37
12,40,37
7,88,84
44,71,63
81,32,88
48,23,38
92,94,34
7,56,15
98,32,80
53,16,12
57,27,31
25,39,61
57,27,83
80,8,17
4,63,35
50,81,54
63,91,79
68,77,3
18,89,29
12,69,14
65,3,12
17,89,9
22,25,81
30,94,68
46,49,13
91,17,94
59,19,30
39,27,61
39,37,4
81,80,10
82,85,38
90,11,45
67,27,35
96,65,55
28,28,1
27,26,63
79,19,37
72,75,18
28,90,11
27,64,68
37,20,95
56,10,96
94,5,23
13,49,10
81,1,93
98,10,43
94,46,76
16,79,31
50,28,85
19,68,56
23,99,58
90,66,19
62,42,94
9,40,33
95,81,9
62,93,18
75,12,48
16,54,78
96,48,17
20,15,4
45,43,14
90,14,92
79,90,31
64,72,23
71,35,58
99,45,43
55,80,97
49,41,48
90,5,78
91,82,21
56,88,55
34,35,91
82,39,40
10,66,82
52,71,32
98,95,11
92,92,30
45,23,47
0,29,4
76,64,88
0,86,31
62,68,2
2,37,57
78,45,18
5,82,0
65,2,3
58,26,91
0,26,82
1,41,63
67,6,31
23,21,45
10,40,61
57,19,8
44,86,28
41,56,61
64,50,53
47,87,91
57,17,52
69,9,15
22,14,13
38,32,96
9,9,52
45,34,83
61,48,43
23,95,31
16,68,87
89,94,57
32,57,89
57,55,86
48,24,29
82,19,50
15,57,27
2,39,39
89,95,43
32,50,56
99,80,69
79,94,2
92,77,78
11,27,77
28,79,18
96,24,15
81,19,46
45,56,97
41,36,71
5,2,39
33,54,25
47,93,10
73,45,81
50,64,41
3,67,54
7,20,74
95,50,6
5,1,80
12,6,25
46,89,73
22,4,52
74,78,82
97,6,87
97,99,20
10,54,95
82,49,72
36,85,48
48,11,11
38,49,15
29,7,67
13,14,56
51,77,58
4,4,81
20,58,74
69,14,14
14,31,21
59,78,42
60,27,48
88,42,25
37,54,95
4,58,23
92,42,37
53,37,4
20,25,21
16,30,81
57,86,75
77,67,63
45,76,2
48,3,34
1,54,66
9,48,9
70,16,21
3,92,5
39,22,70
98,23,67
63,6,51
53,9,82
7,86,49
61,64,93
41,98,80
69,9,9
36,84,84
8,66,22
39,13,71
54,96,29
87,38,48
72,20,58
89,22,30
86,22,42
90,38,2
67,95,42
58,31,43
56,99,27
6,40,26
88,58,9
79,95,65
12,25,53
42,40,88
18,85,72
92,34,18
43,18,38
55,72,95
54,74,59
15,29,82
36,20,90
23,58,35
32,59,71
31,76,12
19,40,78
62,50,29
72,92,11
28,88,74
92,5,80
69,11,38
74,76,1
22,82,44
72,34,90
12,12,20
53,75,42
15,29,7
1,16,5
83,65,1
87,8,31
90,72,61
56,37,54
29,48,60
79,34,43
9,63,93
1,88,3
0,19,33
3,11,67
93,28,23
72,63,25
45,61,43
70,51,58
15,39,74
58,73,44
51,30,15
76,47,89
71,54,53
86,80,37
60,84,72
69,32,75
27,95,64
74,27,64
5,6,31
83,4,36
65,33,61
41,83,13
56,81,57
69,19,96
18,99,34
30,90,85
89,48,6
6,77,63
23,98,72
41,9,14
55,94,3
54,33,34
71,66,62
46,81,57
18,84,41
18,8,79
23,97,53
11,79,66
63,73,83
51,65,21
67,11,54
86,22,6
81,33,42
83,60,50
62,78,71
29,55,50
22,78,68
86,84,27
40,30,97
53,21,80
97,73,16
82,63,27
97,96,60
80,54,75
32,85,57
89,89,45
71,35,67
57,7,96
70,24,46
45,90,26
57,67,69
88,49,42
77,34,62
28,52,42
84,78,69
10,38,76
86,53,67
77,48,77
46,10,11
46,48,66
40,69,16
59,77,93
81,56,4
41,57,60
81,7,49
12,33,70
27,78,65
40,24,2
91,84,85
33,12,67
58,11,26
31,10,13
94,83,85
20,38,99
11,45,67
86,67,70
76,47,19
11,99,96
45,88,89
77,36,62
52,74,88
16,98,9
72,91,74
63,97,14
57,59,28
5,80,86
92,25,24
68,94,78
48,83,93
51,29,31
23,41,80
69,96,1
93,87,91
20,75,1
3,39,19
12,44,62
79,81,26
60,30,98
91,50,94
10,25,58
83,75,12
74,98,13
39,76,2
2,36,97
14,62,28
98,60,3
74,80,72
64,57,23
35,62,34
37,47,4
79,27,43
73,44,4
28,4,24
72,79,6
76,6,96
90,93,19
27,68,72
40,60,2
72,96,4
29,65,49
42,82,60
58,74,68
25,22,39
33,51,88
96,60,16
10,22,41
87,27,27
71,63,11
60,61,69
55,70,10
42,96,74
93,20,9
19,87,25
4,8,1
81,54,10
7,2,4
51,61,66
30,7,63
58,90,64
65,35,62
11,30,95
57,11,77
2,83,3
9,46,43
36,79,5
71,33,91
18,50,87
60,45,83
84,98,79
67,40,13
70,85,2
63,42,59
37,23,33
48,77,54
25,6,31
97,69,97
75,13,84
96,50,17
51,70,96
41,64,13
30,67,43
0,4,3
15,85,89
17,35,11
38,21,69
5,36,99
75,40,56
85,13,73
7,51,87
56,11,3
6,69,30
32,19,54
51,14,38
89,73,53
49,51,57
85,17,8
25,89,75
53,81,30
66,44,36
28,17,94
98,34,24
27,83,15
29,44,39
34,98,11
3,13,88
54,59,24
22,27,17
34,89,54
85,39,6
25,86,13
4,19,42
63,58,83
1,61,83
92,94,82
63,52,94
57,7,58
47,3,53
52,22,86
96,47,94
48,44,19
84,15,95
65,36,16
72,25,55
7,45,60
50,29,65
31,74,69
18,42,75
98,74,51
33,94,89
64,46,44
33,83,71
57,74,37
43,96,15
48,51,62
97,74,42
12,15,96
37,27,61
3,2,83
27,74,13
22,67,10
46,81,43
24,58,80
95,90,52
26,79,59
89,2,5
57,16,49
39,15,50
54,34,83
44,69,65
42,14,31
99,57,97
31,94,14
25,97,1
40,30,46
23,86,9
97,64,10
60,19,36
31,27,68
64,23,67
86,95,77
67,28,84
52,59,19
98,4,46
81,1,76
14,34,89
7,61,46
66,96,83
73,4,20
54,52,44
87,92,40
17,37,1
79,14,48
88,21,98
18,75,16
53,9,89
75,93,14
19,59,34
58,88,67
26,11,61
54,90,26
82,80,56
1,27,81
74,85,98
51,70,58
71,47,69
37,99,31
72,77,97
77,86,60
32,16,53
63,4,84
85,96,30
86,12,38
36,76,61
48,80,71
16,8,37
58,50,77
21,50,34
77,39,51
46,55,62
9,41,3
41,51,49
47,31,82
28,44,66
35,65,78
0,16,60
70,23,24
38,76,4
20,45,19
81,99,20
70,36,47
21,38,10
58,60,7
2,35,99
65,52,77
32,96,66
90,27,61
85,12,18
38,44,73
95,22,29
85,40,48
68,32,92
86,40,40
50,77,58
36,63,51
81,76,54
23,49,56
27,94,43
66,61,28
59,16,80
64,19,45
70,76,71
78,26,7
4,62,92
49,6,70
67,44,38
90,51,47
1,76,88
70,39,19
28,27,63
90,1,75
4,25,51
32,16,57
8,76,64
69,57,90
31,14,7
8,75,83
60,32,47
33,88,20
38,85,72
78,54,70
75,5,89
43,75,75
34,0,5
76,40,87
79,19,60
41,51,26
64,64,56
42,39,28
64,39,73
55,68,56
0,44,49
66,42,91
89,91,12
55,75,39
49,69,87
76,81,71
50,96,88
13,14,45
33,5,41
73,7,79
81,16,38
90,62,9
68,15,83
12,43,59
41,70,20
14,17,38
87,60,98
61,36,2
14,91,86
71,49,41
2,33,41
56,44,7
7,2,93
54,51,18
78,19,81
0,52,29
59,4,78
32,74,97
38,81,70
99,7,82
94,76,36
57,38,25
46,93,48
66,57,38
94,4,69
74,81,72
33,41,88
17,47,49
24,67,71
8,31,28
99,17,24
14,84,26
6,33,54
20,43,45
2,39,79
94,30,56
84,16,44
80,31,37
59,62,94
39,9,57
7,96,15
82,10,18
28,3,89
15,52,40
58,4,83
69,97,27
70,7,14
54,24,22
23,89,49
30,42,82
39,35,87
88,30,91
98,27,31
46,68,88
35,10,51
7,36,10
3,25,29
40,62,55
5,82,33
71,63,86
97,76,86
88,11,55
81,82,13
92,59,23
11,26,61
69,89,25
57,19,33
25,45,49
27,62,82
74,83,40
11,25,10
83,20,57
99,91,78
21,41,33
23,58,2
47,32,76
43,56,92
40,75,18
24,27,93
50,26,53
93,18,49
68,47,74
60,7,80
71,1,53
42,59,39
24,54,92
94,98,63
68,91,21
60,40,59
4,25,6
50,18,78
20,87,99
95,61,93
97,66,59
43,40,5
57,43,9
18,5,54
76,66,58
91,13,61
51,67,71
49,56,28
9,48,75
37,49,22
7,45,20
52,0,82
33,87,72
9,63,77
84,41,46
94,26,17
76,37,30
89,70,34
55,59,57
93,86,23
86,0,83
23,38,3
48,36,62
51,12,43
72,34,12
42,8,54
1,36,50
0,64,86
66,69,51
94,27,51
38,99,57
18,88,3
64,63,13
52,22,28
16,99,77
76,83,44
2,11,2
23,33,76
9,11,45
2,45,13
92,48,88
10,77,46
66,15,60
22,63,45
22,36,32
90,37,3
36,21,16
95,61,66
13,57,17
21,27,43
82,89,13
33,1,48
97,4,16
38,44,38
94,77,92
66,40,29
91,77,9
34,12,56
47,83,80
61,10,35
2,62,33
71,93,30
14,9,78
2,91,87
84,12,25
12,94,54
42,69,4
93,6,9
12,14,1
66,29,1
36,76,61
23,41,30
25,85,78
82,11,84
53,66,16
85,23,35
72,94,2
68,21,21
55,96,86
32,45,74
66,38,50
53,96,87
76,84,5
23,83,96
59,60,86
38,83,57
23,98,57
12,12,89
20,2,21
71,97,50
16,75,51
23,66,15
89,87,3
81,99,98
79,12,3
41,25,12
89,13,37
19,95,95
20,81,60
93,59,83
56,7,39
40,59,26
28,48,69
51,5,43
44,70,5
66,46,95
42,41,95
39,0,78
25,40,22
39,7,10
26,76,40
8,32,20
17,84,89
74,4,73
9,41,37
46,6,6
44,90,71
19,34,25
92,95,99
59,88,74
13,13,3
22,57,44
4,50,3
38,2,46
74,98,97
14,27,36
56,65,60
95,86,36
37,58,57
30,3,19
44,16,41
19,4,16
29,81,45
56,24,52
9,96,61
31,50,94
39,61,28
80,32,53
30,18,33
71,26,95
1,50,9
63,18,86
46,49,35
71,76,17
67,71,88
83,95,64
60,49,62
44,61,17
74,67,95
85,31,76
85,11,13
53,59,90
9,84,91
22,48,4
93,0,58
55,34,47
98,21,76
4,75,84
88,74,25
19,78,57
17,42,40
64,30,53
49,26,85
90,53,95
33,29,30
57,10,40
85,97,43
55,4,71
69,4,71
40,51,84
53,7,61
6,84,85
3,85,5
36,82,95
28,73,53
1,69,88
25,39,73
83,25,88
92,17,38
2,91,98
28,54,53
20,77,16
15,56,31
94,51,86
77,98,64
16,44,12
66,59,5
97,72,49
60,97,5
57,11,99
72,81,53
30,18,79
28,31,32
91,19,63
45,65,37
79,50,52
41,90,96
51,63,7
0,65,82
64,28,88
85,1,43
89,15,89
5,76,45
56,20,34
40,92,86
65,52,96
88,49,45
48,57,45
7,33,60
92,43,0
52,15,18
92,95,20
68,94,92
90,16,5
42,90,3
42,49,11
9,20,1
41,88,94
7,54,3
59,34,44
7,19,27
49,30,20
85,7,63
41,97,71
73,27,40
56,86,34
33,69,54
32,57,90
90,46,83
34,2,43
67,58,65
5,87,36
34,63,36
65,43,55
97,49,39
17,11,50
17,46,23
94,97,68
5,32,14
46,35,98
94,69,28
88,0,17
47,15,0
73,8,99
33,43,95
55,20,32
10,77,19
98,42,63
7,63,58
49,20,92
50,45,89
11,77,15
53,85,96
38,42,49
11,48,54
94,74,54
39,78,76
58,25,12
40,16,42
60,90,20
28,25,30
23,22,24
16,5,24
35,3,54
16,26,28
87,70,48
51,22,16
3,20,80
83,28,39
31,63,5
42,88,85
92,13,72
73,69,83
99,89,99
7,24,97
36,5,2
89,65,52
70,4,94
14,45,33
51,12,18
37,21,5
72,73,8
62,15,89
1,61,95
20,81,36
8,19,33
89,48,31
18,9,3
67,82,29
66,52,9
60,31,99
36,98,47
95,48,77
38,82,51
93,93,95
89,5,85
88,37,38
17,83,68
29,48,49
78,56,1
46,76,79
33,33,22
72,43,66
95,25,33
10,48,75
12,64,99
84,70,29
15,12,96
11,20,72
93,40,5
89,75,82
23,32,50
63,67,84
20,6,94
87,37,17
89,82,49
3,22,33
5,11,2
41,27,85
10,47,13
64,10,49
88,46,72
81,76,91
9,19,89
26,58,83
48,25,18
29,75,63
41,34,18
66,53,7
20,42,83
33,24,48
21,16,84
19,40,60
84,94,96
98,21,4
0,62,81
56,88,17
72,72,15
6,21,14
79,19,94
12,43,85
59,23,95
0,71,86
70,96,99
82,19,3
26,49,46
45,40,27
32,93,66
56,69,64
76,29,83
63,83,13
69,60,81
72,76,48
75,23,10
47,68,33
13,80,31
70,89,70
57,49,74
41,44,22
44,74,46
47,43,62
34,47,18
41,52,50
75,37,26
45,82,94
68,42,68
37,13,8
50,92,85
11,77,34
11,75,83
89,94,22
28,63,82
52,35,33
10,90,82
83,5,68
36,53,97
80,80,11
6,33,9
50,17,41
71,74,89
87,78,1
34,19,24
13,93,41
89,56,47
90,50,22
37,0,13
50,44,45
41,97,26
5,36,50
94,61,40
69,97,33
74,57,73
21,2,74
94,56,40
80,21,52
97,42,27
1,98,55
13,4,30
44,20,16
75,4,1
54,80,4
66,20,86
7,99,50
69,60,83
32,65,16
70,3,73
19,20,1
30,67,23
1,46,77
72,33,14
94,9,8
9,36,32
48,2,94
36,53,44
15,13,96
49,64,84
48,58,63
18,27,4
78,43,61
83,71,20
4,35,36
33,6,96
44,69,74
45,17,99
2,7,19
27,72,69
9,30,28
29,41,64
49,20,63
4,38,66
60,63,66
54,25,54
62,31,41
35,18,7
70,23,10
59,88,91
96,63,5
6,55,75
41,88,52
96,78,50
48,49,81
80,18,86
18,86,60
92,70,85
42,20,48
63,20,88
40,83,5
48,65,34
95,91,34
2,23,86
80,84,75
10,3,36
88,35,53
41,23,48
66,82,6
75,99,3
54,99,64
27,21,17
94,47,57
24,35,72
0,83,29
94,73,55
76,21,28
92,23,66
8,43,85
15,18,76
51,14,45
63,41,75
73,29,86
91,24,17
25,41,35
58,88,20
78,39,93
44,10,51
79,59,60
88,16,71
13,16,52
32,54,58
7,94,88
49,99,69
36,31,98
94,94,30
59,4,87
23,45,35
77,39,25
8,3,8
72,94,6
14,47,21
29,32,52
40,86,76
55,30,4
16,2,17
63,70,19
48,67,39
47,89,42
92,21,68
50,54,90
99,90,65
94,24,91
3,19,71
7,45,35
91,9,84
84,49,98
89,46,13
83,91,6
37,58,25
3,78,14
68,33,63
7,17,47
11,20,75
10,44,58
68,78,95
66,81,83
18,56,1
87,9,67
80,30,93
0,56,23
44,13,59
67,69,55
6,36,14
3,20,81
5,63,82
62,24,63
33,1,84
46,39,83
83,48,34
83,97,30
71,41,80
40,21,42
40,56,23
27,49,97
24,55,32
28,8,59
83,40,22
79,42,58
59,90,60
32,28,41
37,14,47
41,92,93
43,74,74
86,99,55
83,57,86
83,23,38
57,16,99
78,2,44
29,42,61
62,5,50
24,9,61
61,15,7
79,24,58
32,62,40
7,40,73
65,29,39
38,58,57
34,27,19
28,47,73
66,86,27
59,69,29
80,82,94
0,81,84
94,88,79
89,77,72
83,8,90
85,42,25
57,35,20
90,76,8
65,45,83
97,82,75
39,0,1
21,43,75
74,21,42
0,4,70
76,79,27
49,91,87
29,84,83
39,60,90
59,71,61
77,63,38
93,75,30
77,92,98
6,36,92
88,62,19
80,14,73
33,31,10
42,98,9
98,13,68
0,61,58
84,90,47
13,56,26
26,23,63
32,39,91
91,18,69
76,57,22
55,2,50
4,98,29
47,47,12
69,96,71
54,70,30
87,39,37
81,66,31
25,25,79
23,51,4
13,58,18
81,55,98
36,90,65
59,13,96
10,86,54
33,57,46
70,29,55
28,58,41
25,70,81
55,37,64
95,99,31
16,34,76
26,24,55
96,80,21
52,77,50
12,96,61
4,32,18
40,49,19
51,5,57
32,93,6
98,88,80
68,17,81
83,92,48
39,93,77
78,27,58
60,44,50
59,84,77
22,31,48
11,96,92
69,92,32
38,77,17
52,16,30
74,91,95
53,25,72
81,12,8
69,97,54
45,51,28
25,84,6
5,36,83
56,54,31
84,58,45
94,42,49
10,99,92
45,9,51
96,18,53
71,66,11
76,20,82
86,22,72
93,69,43
78,2,34
39,94,22
54,41,25
5,76,58
57,99,39
10,13,55
7,72,88
33,54,70
52,45,65
53,9,24
23,74,70
16,88,10
42,62,29
70,72,2
12,87,1
19,44,80
25,66,72
85,2,42
98,80,17
12,86,21
17,82,27
4,70,67
94,0,37
69,62,8
65,52,31
53,98,60
75,75,71
45,41,38
33,5,18
92,24,79
3,58,99
53,76,68
0,68,53
54,28,30
6,53,67
81,16,41
11,27,35
53,49,78
83,33,79
60,1,68
4,97,1
89,38,40
77,94,96
83,93,8
93,14,33
40,16,54
87,38,81
34,86,7
88,42,90
88,11,83
32,51,99
14,36,68
41,96,72
62,78,93
61,31,68
39,80,71
4,52,26
83,74,58
53,68,13
69,36,26
1,77,89
91,91,28
28,71,97
78,64,7
82,95,64
91,13,1
53,32,19
25,41,68
0,53,88
3,44,14
94,10,30
35,68,40
66,47,69
5,16,14
37,58,32
51,14,43
45,99,87
26,80,66
29,63,50
36,45,12
69,90,60
98,76,32
78,41,40
67,4,44
64,34,89
52,13,48
83,47,85
76,79,98
55,52,61
47,1,66
93,30,49
82,33,67
4,54,75
71,20,24
49,46,54
89,91,32
17,68,43
47,49,5
98,54,51
56,82,45
65,61,68
33,5,8
16,5,10
63,85,95
41,86,73
69,7,69
85,96,64
33,67,45
81,77,71
52,66,40
70,21,63
18,89,39
38,46,59
44,60,78
51,83,59
16,47,31
2,30,22
66,59,27
68,48,56
54,44,61
70,24,48
7,85,76
19,75,2
32,1,27
98,44,67
72,72,11
38,0,9
85,27,28
7,18,24
88,68,61
32,21,7
38,58,55
45,57,87
66,15,15
69,71,73
84,19,56
2,55,7
98,31,26
42,12,4
65,62,36
25,60,29
92,13,49
72,45,8
53,70,82
3,51,0
41,9,66
19,7,9
1,92,84
6,30,87
13,58,32
76,86,11
60,10,21
53,30,95
94,41,33
6,58,74
49,56,17
9,95,59
45,84,19
24,83,50
30,38,56
28,21,60
89,32,6
60,66,13
8,17,90
13,43,22
77,40,53
63,49,32
7,0,52
38,10,22
80,41,20
23,35,18
75,67,19
42,62,65
7,40,91
23,59,38
41,76,56
35,14,39
91,78,26
96,6,10
14,7,69
3,91,17
41,75,57
51,55,94
98,70,30
59,69,72
44,18,38
62,87,65
73,82,8
51,23,46
71,99,91
96,28,44
79,78,99
21,50,81
40,50,61
8,1,14
14,80,25
64,65,52
40,3,44
1,48,93
38,59,98
20,36,31
58,47,79
28,14,26
90,14,65
57,9,97
34,64,31
46,57,21
62,39,89
57,56,81
93,8,30
64,19,82
30,59,46
54,23,64
86,90,37
51,26,58
89,13,66
83,0,76
39,31,50
51,34,45
66,66,17
74,58,94
16,57,4
71,67,30
30,47,46
5,23,12
55,48,21
25,13,29
97,1,71
80,80,3
77,13,93
97,71,85
67,34,86
19,0,53
69,88,59
88,95,14
49,15,12
25,13,85
88,33,62
10,44,92
49,14,37
93,84,47
0,47,68
69,40,24
20,45,27
30,3,64
81,82,78
69,83,93
23,71,46
69,62,92
27,68,75
98,91,51
71,36,93
82,84,74
56,75,79
6,97,94
24,81,17
28,10,30
50,97,95
78,37,8
80,90,24
41,56,77
30,81,31
83,16,24
50,22,9
51,31,47
71,12,18
98,5,2
32,89,8
61,69,11
57,53,29
40,69,71
85,86,80
89,6,20
81,26,11
58,8,93
53,29,62
28,94,0
6,61,36
90,49,16
70,69,58
20,60,33
22,48,62
96,5,73
19,60,68
40,95,52
44,3,30
45,35,23
20,61,19
17,0,17
52,9,77
94,48,28
41,65,22
46,47,49
82,80,24
86,21,77
85,63,3
8,46,88
59,52,40
14,79,24
14,54,47
25,25,86
53,62,5
32,75,71
99,91,88
57,67,47
72,38,17
69,98,84
24,19,83
28,28,70
47,3,21
86,84,16
51,38,10
45,13,58
87,86,19
5,97,92
63,90,63
15,47,3
60,31,59
14,58,75
26,30,17
75,32,77
30,52,56
2,6,56
69,16,60
73,65,95
58,40,22
2,24,16
98,85,31
98,12,6
1,48,84
64,30,7
48,50,66
62,59,51
87,23,86
0,43,13
97,73,27
78,39,5
10,94,73
70,33,72
86,0,99
41,10,34
65,18,89
76,19,63
76,10,66
91,53,31
6,8,32
28,23,99
35,52,52
99,81,52
71,74,63
87,21,90
68,15,13
99,47,59
75,58,24
68,91,48
10,48,12
18,18,57
9,43,77
98,91,22
8,7,41
17,17,81
51,5,77
36,38,4
92,79,19
49,57,59
70,17,1
62,66,69
53,72,19
2,48,39
83,24,39
19,70,37
79,95,98
13,81,70
19,93,47
47,16,7
82,57,19
51,32,45
79,85,55
84,99,27
6,71,31
23,68,73
97,9,65
57,47,65
61,51,5
88,54,46
77,14,79
66,65,19
15,9,34
12,97,73
24,91,73
51,24,31
41,71,55
61,66,54
13,20,1
35,52,2
87,63,76
45,29,92
90,63,82
28,13,52
76,3,25
85,98,10
28,10,64
93,65,23
20,43,9
4,66,49
59,29,19
30,47,79
5,13,8
58,42,56
99,51,80
21,55,25
65,23,83
36,9,83
69,89,28
97,86,91
12,22,10
6,26,1
32,85,89
33,93,65
42,57,36
69,57,23
37,0,4
75,90,26
93,75,51
53,72,8
62,6,16
80,3,70
61,37,11
55,19,71
75,53,22
89,54,72
41,27,95
4,91,76
31,91,33
58,40,87
23,53,51
66,17,47
73,99,0
18,20,26
42,13,27
40,23,41
42,18,6
84,10,13
43,53,9
24,83,76
62,46,39
74,88,6
71,74,46
85,96,23
21,51,81
81,79,45
14,11,30
10,72,98
90,55,91
36,32,73
16,6,77
1,43,96
51,61,87
51,35,43
97,54,91
22,83,45
52,26,31
91,3,65
48,38,17
40,49,30
66,76,45
52,57,20
91,97,36
33,85,91
50,94,60
9,28,98
51,36,31
16,33,20
69,53,7
68,37,78
65,45,74
55,28,59
73,17,77
79,38,88
9,45,79
32,86,23
77,89,58
5,60,15
56,93,34
48,5,4
25,46,74
2,51,55
94,65,14
21,41,5
74,41,33
11,46,92
98,12,14
10,75,83
43,33,35
78,65,75
9,28,27
17,88,1
16,27,92
85,97,36
79,63,71
77,7,45
29,28,88
41,5,10
72,73,58
52,48,0
60,96,91
82,49,12
85,96,44
74,71,51
21,61,75
53,24,17
37,15,83
83,72,11
58,9,73
11,10,33
60,30,92
6,54,12
19,60,30
3,47,61
79,47,22
6,41,23
5,9,39
46,45,32
48,42,39
61,37,81
93,92,51
9,24,18
51,89,34
11,3,36
25,11,7
23,38,84
46,3,97
58,4,23
63,50,88
38,41,63
70,39,32
33,77,20
53,93,4
53,89,77
98,80,48
15,77,89
84,45,92
43,35,53
47,18,72
62,60,98
96,17,52
40,4,50
89,54,76
33,90,29
37,40,41
93,99,13
75,73,62
35,68,41
51,15,59
37,24,99
15,73,43
28,31,88
37,92,1
66,9,92
44,66,72
53,44,77
62,20,59
27,92,95
26,73,33
75,16,5
85,89,55
61,13,42
76,95,8
89,45,97
33,2,23
78,35,88
12,0,38
77,29,66
11,20,44
96,20,12
20,68,66
39,35,88
36,93,12
80,23,77
44,24,35
23,25,41
22,7,77
0,21,1
41,37,72
15,72,82
96,4,13
79,16,5
28,64,82
69,64,1
95,88,87
70,15,41
67,31,44
8,45,62
70,29,28
57,92,86
10,86,39
21,54,67
30,66,88
0,92,58
6,79,80
68,58,15
7,52,60
48,96,80
51,88,50
57,50,17
49,89,0
83,88,0
37,60,85
1,31,86
25,5,64
30,74,43
2,24,4
3,89,75
9,74,87
15,60,71
24,13,1
65,20,39
40,93,2
33,54,72
24,26,17
86,34,74
91,81,21
66,91,30
40,7,76
97,94,48
10,75,68
3,4,79
9,6,58
33,98,21
92,92,70
37,69,23
27,68,60
24,50,25
68,53,35
39,61,82
91,40,96
79,61,74
44,90,43
85,95,72
51,37,20
54,27,22
92,97,68
37,65,6
81,79,58
2,63,70
74,37,50
85,80,58
74,44,87
36,58,64
17,68,20
62,30,38
32,74,86
37,49,88
53,69,98
37,24,6
37,45,78
93,35,47
29,68,88
88,11,16
51,44,68
54,15,97
42,2,13
29,73,65
9,75,35
67,12,83
78,38,50
8,0,64
87,49,23
92,13,1
49,23,98
14,17,32
12,52,38
50,50,79
84,92,53
15,67,36
82,37,76
81,91,98
27,37,78
17,61,42
34,93,94
57,15,26
15,83,38
5,21,71
98,37,85
18,58,18
39,32,2
70,45,0
10,13,54
57,19,34
50,63,57
28,7,6
97,94,94
16,31,88
19,71,15
7,81,48
57,50,16
96,91,51
45,45,87
31,17,79
60,99,71
86,67,15
72,22,1
5,19,28
98,43,41
13,63,51
53,21,79
69,25,79
55,72,88
34,2,24
14,79,85
36,7,99
95,60,27
68,80,29
20,5,49
4,36,13
1,93,9
13,55,82
93,92,90
70,86,31
1,61,40
5,82,98
37,12,73
34,11,17
32,42,16
99,27,3
89,76,16
75,77,57
59,86,75
73,65,76
82,3,17
47,91,4
82,14,60
70,61,4
37,30,21
90,80,50
35,35,81
94,32,6
25,38,8
40,74,20
53,73,82
94,88,56
90,58,4
0,93,79
23,7,74
96,64,33
58,77,16
1,55,43
16,92,13
7,77,61
11,79,62
27,84,54
26,90,15
40,37,79
35,77,27
61,93,16
9,71,99
3,64,87
77,13,11
96,35,99
91,52,91
85,94,91
52,22,69
53,87,97
83,48,6
6,89,7
20,11,4
87,53,49
27,18,13
70,43,37
55,73,73
37,68,98
27,23,6
68,83,93
59,99,63
13,33,65
36,94,62
82,4,1
30,27,63
98,15,2
82,34,2
10,95,90
61,44,63
35,4,80
52,75,91
47,63,24
59,68,68
28,16,28
34,61,48
63,81,51
27,35,17
80,61,91
97,1,81
72,8,76
50,15,84
3,85,61
68,28,7
11,98,48
3,57,83
82,66,55
24,29,44
35,9,87
64,18,33
13,27,22
55,14,1
57,59,52
94,80,32
6,15,74
4,75,98
77,98,79
64,15,33
13,94,38
65,40,1
93,15,28
54,11,79
56,51,33
10,34,89
36,86,61
90,45,36
69,30,37
24,56,11
70,78,78
22,50,36
82,73,73
2,2,76
32,84,85
65,38,96
35,56,50
32,25,88
43,48,97
2,52,15
16,76,42
20,72,19
48,29,16
33,53,84
21,34,84
40,46,42
60,61,92
37,9,38
68,18,76
64,51,2
55,77,98
25,29,19
98,13,74
33,10,15
17,1,71
68,78,27
49,63,69
71,1,5
16,52,1
61,39,73
29,95,55
17,46,16
68,64,51
34,73,76
81,60,99
96,49,53
6,72,59
43,28,44
50,80,47
7,77,93
35,58,79
24,71,2
60,22,65
82,74,58
18,23,79
7,33,14
12,36,43
56,2,50
54,93,26
36,9,33
15,96,0
51,16,65
42,22,28
53,11,6
24,47,50
88,12,54
18,48,96
23,70,21
74,4,31
83,29,33
49,4,46
74,21,74
48,49,72
43,47,62
87,16,17
21,26,61
19,33,40
43,46,99
72,99,21
2,13,52
39,49,30
59,25,16
83,55,49
10,7,4
40,24,37
92,39,92
56,37,75
